campaign	campaign_manager	set_advice_debug	(enable_debug_output: boolean?)		Enables or disables verbose debug output for the advice system. This can be useful as the advice system is difficult to debug using traditional means.
campaign	campaign_manager	set_advice_enabled	(enable_advice: boolean?)		Enables or disables the advice system.
campaign	campaign_manager	set_campaign_name	(campaign_name: string)		Sets the name of the campaign. This is used for some output, but is mostly used to determine the file path to the campaign script folder which is partially based on the campaign name.
campaign	campaign_manager	set_next_advice_location	(x_position: number, y_position: number)		Sets an x/y display location for the next triggered advice. Once that advice has triggered this position will be cleared, meaning further advice will trigger without a location unless this function is called again.
campaign	campaign_manager	set_objective	(objective_key: string, param_a: number?, param_b: number?)		Sets up a scripted objective for the player, which appears in the scripted objectives panel. This objective can then be updated, removed, or marked as completed or failed by the script at a later time.
campaign	campaign_manager	set_objective_with_leader	(objective_key: string, param_a: number?, param_b: number?, callback: function?)		Sets up a scripted objective for the player which appears in the scripted objectives panel, with a topic_leader. This objective can then be updated, removed, or marked as completed or failed by the script at a later time.
campaign	campaign_manager	set_saved_value	(value_name: string, value: any)		Sets a value to be saved using the saved value system. Values saved using this function are added to an internal register within the campaign manager, and are automatically saved and loaded with the game, so there is no need to register callbacks with campaign...
campaign	campaign_manager	set_turn_number_modifier	(modifier: number)		Sets a turn number modifier. This offsets the result returned by campaign_manager:turn_number by the supplied modifier. This is useful for campaign setups which include optional additional turns (e.g.
campaign	campaign_manager	set_use_cinematic_borders_for_automated_cutscenes	(show_borders: boolean?)		Sets whether or not to show cinematic borders when scrolling the camera in an automated cutscene (for example with campaign_manager:scroll_camera_with_cutscene). By default, cinematic borders are displayed.
campaign	campaign_manager	settlement_display_pos	(settlement_name: string)	number, number	Returns the display position of a supplied settlement by string name.
campaign	campaign_manager	settlement_logical_pos	(settlement_name: string)	number, number	Returns the logical position of a supplied settlement by string name.
campaign	campaign_manager	setup_campaign_intro_cutscene	(default_camera_position: table, cindy_key_or_duration: string?, advice_keys: table?, end_callback: function?, cutscene_configurator: function?, movie: string?, hide_faction_leader: number?)		Sets up defines common behaviour for intro cutscenes that factions scripts can use invoke of defining their own behaviour manually. In singleplayer mode, an intro cutscene will be started when the loading screen is dismised that will play the supplied cindysce...
campaign	campaign_manager	show_advice	(advice_key: string, show_progress_button: boolean?, highlight_progress_button: boolean?, callback: function?, playtime: number?, delay: number?)		Displays some advice. The advice to display is specified by advice_thread key.
campaign	campaign_manager	show_benchmark_if_required	(cindy_file: function, cam_x: string?, cam_y: number?, cam_d: number?, cam_b: number?, cam_h: number?, benchmark_duration: number?)		Shows a benchmark constructed from supplied parameters if benchmarking mode is active, otherwise calls a supplied callback which should continue the campaign as normal.
campaign	campaign_manager	show_message_event	(faction_key: string, title_loc_key: string, primary_loc_key: string, secondary_loc_key: string, persistent: boolean, index: number, end_callback: function?, callback_delay: number?, dont_whitelist: boolean?)		Constructs and displays an event. This wraps the cm:show_message_event function of the same name on the underlying episodic_scripting, although it provides input validation, output, whitelisting and a progression callback.
campaign	campaign_manager	show_message_event_located	(faction_key: string, title_loc_key: string, primary_loc_key: string, secondary_loc_key: string, x: number, y: number, persistent: boolean, index: number, end_callback: function?, callback_delay: number?)		Constructs and displays a located event. This wraps the cm:show_message_event_located function of the same name on the underlying episodic scripting interface, although it also provides input validation, output, whitelisting and a progression callback.
campaign	campaign_manager	show_subtitle	(text_key: string, full_text_key_supplied: boolean?, force_diplay: boolean?)		Shows subtitled text during a cutscene. The text is displayed until campaign_manager:hide_subtitles is called.
campaign	campaign_manager	shuffle_table	(table: table)		Randomly shuffles a table with an implementation of the Fisher-Yates shuffle. Note that, unlike the random_sort and random_sort_copy functions, this modifies the existing table and doesn't destroy the original or create a new table.
campaign	campaign_manager	skip_all_campaign_cutscenes	()		Skips any campaign cutscene currently running.
campaign	campaign_manager	spawn_army_starting_character_for_faction	(subject_faction_key: string, subject_forename_key: string, faction_key: string, units: string, region_key: string, x: number, y: number, make_immortal: boolean)		Spawns a specified force if a character (the subject) exists within a faction with an army. It is intended for use at the start of a campaign in a game-created callback (see campaign_manager:add_pre_first_tick_callback), in very specific circumstances.
campaign	campaign_manager	start_faction_region_change_monitor	(faction_key: string)		Starts a region change monitor for a faction.
campaign	campaign_manager	start_hero_action_listener	(faction_key: string)		This fuction starts a listener for hero actions committed against a specified faction and sends out further events based on the outcome of those actions. It is of most use for listening for hero actions committed against a player faction.
campaign	campaign_manager	start_intro_cutscene_on_loading_screen_dismissed	(callback: function, fade_in_time: number?)		This function provides an easy one-shot method of starting an intro flyby cutscene from a loading screen with a fade effect. Call this function on the first tick (or before), and pass to it a function which starts an intro cutscene.
campaign	campaign_manager	start_pooled_resource_tracker_for_faction	(faction_key: string)		Starts a pooled resource tracking monitor for the supplied faction. A pooled resource tracking monitor for a faction should only be started once per campaign.
campaign	campaign_manager	steal_escape_key_and_space_bar_with_callback	(name: string, callback: function, is_persistent: boolean?)		Steals the escape key and spacebar and registers a function to call when they are pressed.
campaign	campaign_manager	steal_escape_key_on_event	(should_steal: boolean, event: string, condition: function?, delay: number?, listener_name: string?)		Steals or un-steals the escape key if the supplied script event is received, optionally with the specified condition. This function calls cm:steal_escape_key.
campaign	campaign_manager	steal_escape_key_with_callback	(name: string, callback: function, is_persistent: boolean?)		Steals the escape key and registers a function to call when it is pressed. Unlike campaign_manager:steal_key_with_callback this automatically calls cm:steal_escape_key if the key is not already stolen.
campaign	campaign_manager	steal_key_with_callback	(name: string, key: string, callback: function, is_persistent: boolean?)		Steal a key, and register a callback to be called when it's pressed. It will be un-stolen when this occurs. cm:steal_user_input will need to be called separately for this mechanism to work, unless it's the escape key that being stolen, where cm:steal_escape_ke...
campaign	campaign_manager	steal_user_input_on_event	(should_steal: boolean, event: string, condition: function?, delay: number?, listener_name: string?)		Steals or un-steals user input if the supplied script event is received, optionally with the specified condition. This function calls cm:steal_user_input().
campaign	campaign_manager	stop_cindy_playback	(clear_animation_scenes: boolean)		Stops playback of any currently-playing cindy scene. This is a wrapper for the function of the same name on the cinematic interface, but adds debug output.
campaign	campaign_manager	stop_faction_region_change_monitor	(faction_key: string)		Stops a running region change monitor for a faction.
campaign	campaign_manager	stop_is_character_moving	(cqi: number)		Stops any running monitor started with campaign_manager:is_character_moving, by character. Note that once the monitor completes (half a second after it was started) it will automatically shut itself down.
campaign	campaign_manager	stop_notify_on_character_halt	(cqi: number)		Stops any monitor started by campaign_manager:notify_on_character_halt, by character cqi.
campaign	campaign_manager	stop_notify_on_character_movement	(process_name: string)		Stops any monitor started by campaign_manager:notify_on_character_movement, by process name.
campaign	campaign_manager	suppress_all_event_feed_messages	(activate_suppression: boolean?)		Suppresses or unsuppresses all event feed message from being displayed. With this suppression in place, event panels won't be shown on the UI at all but will be queued and then shown when the suppression is removed.
campaign	campaign_manager	teleport_to	(character_string: string, x: number, y: number)		Teleports a character to a logical position on the campaign map. This function is a wrapper for the cm:teleport_to function on the underlying episodic scripting interface. This wrapper adds debug output and argument validation.
campaign	campaign_manager	tol_campaign_key	()	string	Returns the Time of Legends campaign key. If the current campaign is not a Time of Legends campaign, then nil is returned.
campaign	campaign_manager	trigger_custom_mission	(faction_key: string, mission_key: string, do_not_cancel: boolean?, whitelist: boolean?)		Triggers a specific custom mission from its database record key. This mission must be defined in the missions.txt file that accompanies each campaign.
campaign	campaign_manager	trigger_custom_mission_from_string	(faction_key: string, mission: string, whitelist: boolean?)		Triggers a custom mission from a string passed into the function. The mission string must be supplied in a custom format - see the missions.txt that commonly accompanies a campaign for examples.
campaign	campaign_manager	trigger_dilemma	(faction_key: string, dilemma_key: string, trigger_callback: function?)	boolean	Triggers dilemma with a specified key, based on a record from the database, preferentially wrapped in an intervention. The delivery of the dilemma will be wrapped in an intervention in singleplayer mode, whereas in multiplayer mode the dilemma is triggered dir...
campaign	campaign_manager	trigger_dilemma_raw	(faction_key: string, dilemma_key: string, fire_immediately: boolean?, whitelist: boolean?)	boolean	Compels the campaign director to trigger a dilemma of a particular type, based on a record from the database. This function is a raw wrapper for the cm:trigger_dilemma function on the game interface, adding debug output and event type whitelisting, but not fea...
campaign	campaign_manager	trigger_dilemma_with_targets	(faction_cqi: number, dilemma_key: string, target_faction_cqi: number?, secondary_faction_cqi: number?, character_cqi: number?, military_force_cqi: number?, region_cqi: number?, settlement_cqi: number?, trigger_callback: function, trigger_callback_immediately: boolean?)	boolean	Triggers a dilemma with a specified key and one or more target game objects, preferentially wrapped in an intervention. If calling from within an intervention, force_dilemma_immediately can be specified as true to prevent a nested intervention call.
campaign	campaign_manager	trigger_dilemma_with_targets_and_family_member	(faction_cqi: number, dilemma_key: string, target_faction_cqi: number?, secondary_faction_cqi: number?, family_member_cqi: number?, military_force_cqi: number?, region_cqi: number?, settlement_cqi: number?, trigger_callback: function, trigger_callback_immediately: boolean?)	boolean	Triggers a dilemma with a specified key and one or more target game objects, including a family member CQI instead of a character CQI (since this should remain constant between character deaths and revivals), preferentially wrapped in an intervention.
campaign	campaign_manager	trigger_dilemma_with_targets_raw	(faction_cqi: number, dilemma_key: string, target_faction_cqi: number?, secondary_faction_cqi: number?, character_cqi: number?, family_member_cqi: number?, military_force_cqi: number?, region_cqi: number?, settlement_cqi: number?, trigger_callback: function, whitelist: boolean)	boolean, string	Directly triggers a dilemma with a specified key and one or more target game objects. This function is a raw wrapper for the cm:trigger_dilemma_with_targets function on the game interface, adding debug output and event type whitelisting, but not featuring the...
campaign	campaign_manager	trigger_incident	(faction_key: string, incident_key: string, fire_immediately: boolean?, whitelist: boolean?)	boolean	Instructs the campaign director to attempt to trigger a specified incident, based on record from the database. The incident will be triggered if its conditions, defined in the cdir_events_incident_option_junctions, pass successfully.
campaign	campaign_manager	trigger_mission	(faction_key: string, mission_key: string, fire_immediately: boolean?, whitelist: boolean?)	boolean	Instructs the campaign director to attempt to trigger a mission of a particular type, based on a mission record from the database. The mission will be triggered if its conditions, defined in the cdir_events_mission_option_junctions, pass successfully.
campaign	campaign_manager	trigger_transient_intervention	(name: string, callback: function, debug: boolean?, configuration_callback: function?, intervention_priority: number?)		Creates, starts, and immediately triggers a transient intervention with the supplied paramters. This should trigger immediately unless another intervention is running, in which case it should trigger afterwards.
campaign	campaign_manager	turn_number	()	number	Returns the turn number, including any modifier set with campaign_manager:set_turn_number_modifier
campaign	campaign_manager	update_objective_chain	(chain_name: string, objective_key: string, number_param_a: number?, number_param_b: number?)		Updates an existing objective chain. This function passes its arguments through objectives_manager:update_objective_chain on the objectives manager - see the documentation on that function for more information.
campaign	campaign_manager	whitelist_event_feed_event_type	(event_type: string)		While suppression has been activated with campaign_manager:suppress_all_event_feed_messages an event type may be whitelisted and allowed to be shown with this function.
campaign	campaign_manager	whose_turn_is_it	()	faction_list	Returns a list of all factions whose turn it is currently. This can be used in singleplayer or multiplayer.
campaign	campaign_manager	whose_turn_is_it_single	()	FACTION_SCRIPT_INTERFACE	Returns faction object of the faction whose turn it is currently. This only works in singleplayer mode - in scripts that may be run in multiplayer mode call campaign_manager:whose_turn_is_it, which returns a particular faction of the many currently taking thei...
campaign,events	CAMPAIGN_MISSION_SCRIPT_INTERFACE	faction	()	FACTION_SCRIPT_INTERFACE	Access to the faction interface
campaign,events	CAMPAIGN_MISSION_SCRIPT_INTERFACE	is_null_interface	()	boolean	Is this the null script interface
campaign,events	CAMPAIGN_MISSION_SCRIPT_INTERFACE	mission_issuer_record_key	()	string	Returns the mission issuer record key
campaign,events	CAMPAIGN_MISSION_SCRIPT_INTERFACE	mission_record_key	()	string	Returns the mission record key
campaign,events	CAMPAIGN_MISSION_SCRIPT_INTERFACE	model	()	MODEL_SCRIPT_INTERFACE	Access to the campaign model interface
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	abandon_settlement	(region: REGION_SCRIPT_INTERFACE)	boolean	Abandon the target regions settlement
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	action_points_percentage_change	(target_character: CHARACTER_SCRIPT_INTERFACE, percentage: number)	boolean	Change target character's action points by a percentage of their amount per turn
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	add_mercenary_to_faction_pool	(unit_key: string, amount: number)	boolean	Add a mercenary unit to the faction pool
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	add_unit	(target_force: MILITARY_FORCE_SCRIPT_INTERFACE, main_unit_key: string, amount: number, xp: number)	boolean	Add units to a military force
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	agent_capacity_adjustment	(faction: FACTION_SCRIPT_INTERFACE, agent_key: string, change: number)	boolean	Apply an additive modifier to a factions agent capacity
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	ancillary_loss	(character: CHARACTER_SCRIPT_INTERFACE, ancillary_key: string)	boolean	Remove an ancillary from a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	army_transfer	(force: MILITARY_FORCE_SCRIPT_INTERFACE, faction: FACTION_SCRIPT_INTERFACE)	boolean	Transfer an army to another faction. If no new owner is provided, then the payload applicant will receive the army
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	building_chain_demolition	(building_chain_key: string)	boolean	Demolish every instance of a building chain in the faction the payload is applied to
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_ancillary_gain	(target: CHARACTER_SCRIPT_INTERFACE, ancillary_key: string, replace_equipped: boolean)	boolean	Grant an ancillary to a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_experience_change	(character: CHARACTER_SCRIPT_INTERFACE, amount: number)	boolean	Grant an amount of experience to a character. (Cannot be negative)
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_loyalty_adjustment	(character: CHARACTER_SCRIPT_INTERFACE, amount: number)	boolean	Adjust a characters loyalty by the specified amount
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_loyalty_effect	(character: CHARACTER_SCRIPT_INTERFACE, loyalty_effect_key: string)	boolean	Apply a db defined loyalty effect to a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_post_assignment	(character: CHARACTER_SCRIPT_INTERFACE, ministerial_position_key: string)	boolean	Assign a character to a post (ministerial position)
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_to_kill	(character: CHARACTER_SCRIPT_INTERFACE)	boolean	Kill a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_to_wound	(character: CHARACTER_SCRIPT_INTERFACE)	boolean	Wound a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	character_trait_change	(character: CHARACTER_SCRIPT_INTERFACE, trait_level_key: string, is_removal: boolean)	boolean	Add/Remove a character trait
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	clear	()		Remove all components from the payload
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	components_from_record	(payload_key: string, source: integer, target: integer)	boolean	Add all components from a campaign payload record. ContextVariant = (CHARACTER_SCRIPT_INTERFACE | FACTION_SCRIPT_INTERFACE | REGION_SCRIPT_INTERFACE | SETTLEMENT_SCRIPT_INTERFACE | MILITARY_FORCE_SCRIPT_INTERFACE | PROVINCE_SCRIPT_INTERFACE | FACTION_PROVINCE_...
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	damage_army	(force: MILITARY_FORCE_SCRIPT_INTERFACE, percentage: number)	boolean	Damage an army by a percentage amount
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	damage_buildings	(region: REGION_SCRIPT_INTERFACE, min_damage: number, max_damage: number)	boolean	Damage buildings in a region by a semi-random amount
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	damage_buildings_home_region	(min_amount: number, max_amount: number)	boolean	Damage buildings in the payload applicants home region, by a semi-random amount
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	damage_character	(character: CHARACTER_SCRIPT_INTERFACE, percentage_damage: number)	boolean	Damage a character by a percentage
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	damage_walls	(region: REGION_SCRIPT_INTERFACE, breaches_to_add: number)	boolean	Damage the walls in a region
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	demolish_secondary_buildings	(region: REGION_SCRIPT_INTERFACE, amount: number)	boolean	Demolish secondary buildings in a region. If amount is negative, all buildings will be destroyed
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	destroy_faction	(victim: FACTION_SCRIPT_INTERFACE)	boolean	Kill a faction
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	destroy_unit	(target_unit: UNIT_SCRIPT_INTERFACE)	boolean	Destroy a given unit
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	diplomatic_attitude_adjustment	(other_faction: FACTION_SCRIPT_INTERFACE, adjustment: integer)	boolean	Adjust diplomatic attitude between a faction and the payload applicant
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	diplomatic_attitude_adjustment_between	(faction_a: FACTION_SCRIPT_INTERFACE, faction_b: FACTION_SCRIPT_INTERFACE, attitude: number)	boolean	Apply an attitude adjustment between two factions
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	disable_faction_characters_movement	(faction: FACTION_SCRIPT_INTERFACE, duration: number)	boolean	Disable movement for a faction. This is for temporary disabling, don't use this to try and disable a faction for good
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_all_factions	(string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to every single faction in the game
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_character	(character: CHARACTER_SCRIPT_INTERFACE, string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_faction	(string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to the payload applicant
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_faction_province	(province: integer, string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to a faction province
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_force	(force: MILITARY_FORCE_SCRIPT_INTERFACE, string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to a military force
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_home_region	(string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to the home region of the payload applicant
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_region	(region: REGION_SCRIPT_INTERFACE, string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to a region
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	effect_bundle_to_region_group	(region_group_key: string, string: string|EFFECT_BUNDLE_SCRIPT_INTERFACE|CUSTOM_EFFECT_BUNDLE_SCRIPT_INTERFACE)	boolean	Apply an effect bundle to a region group
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	entity_resource_transaction	(target_entity: FACTION_SCRIPT_INTERFACE|REGION_SCRIPT_INTERFACE|MILITARY_FORCE_SCRIPT_INTERFACE|CHARACTER_SCRIPT_INTERFACE, resource_cost_key: string, duration: integer, must_be_able_to_afford: boolean, apply_immediately: boolean)	boolean	Apply a resource transaction to an entity
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_ancillary_gain	(target: FACTION_SCRIPT_INTERFACE|nil, ancillary_key: string)	boolean	Grant an ancillary to a faction. If no faction is specified, the applicant faction will be used
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_pooled_resource_transaction	(pooled_resource_key: string, pooled_resource_factor_key: string, amount: number, required: boolean)	boolean	Add/Remove an amount of pooled resource from the payload applicant faction. If "required" is true then dilemma options with this payload will only be selectable if the faction has the resources to afford this cost
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_pooled_resource_transaction_from_record	(resource_cost_key: string, required: boolean)	boolean	Apply a pooled resource transaction from a record. If "required" is true then dilemma options with this payload will only be selectable if the faction has the resources to afford this cost
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_pooled_resource_transaction_percentage	(pooled_resource_key: string, pooled_resource_factor_key: string, amount: number, required: boolean)	boolean	Add/Remove a percentage of the existing amount of pooled resource from the payload applicant faction. If "required" is true then dilemma options with this payload will only be selectable if the faction has the resources to afford this cost
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_pooled_resource_transfer	(resource_cost_key: string, receiving_faction: FACTION_SCRIPT_INTERFACE)	boolean	Transfer resources from the payload applicant to another faction
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_province_pooled_resource_transaction	(province: PROVINCE_SCRIPT_INTERFACE, resource_key: string, factor_key: string, amount: number, required: boolean)	boolean	Apply a pooled resource transaction to a faction province
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_province_pooled_resource_transaction_percentage	(province: PROVINCE_SCRIPT_INTERFACE, resource_key: string, factor_key: string, amount: number, required: boolean)	boolean	Apply a percentage pooled resource transaction to a faction province
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	faction_slaves_adjustment	(amount: number)	boolean	Adjust the payload applicants slave balance
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	favour_points	(to_faction: FACTION_SCRIPT_INTERFACE, amount: number)	boolean	Grant favour points between the payload applicant and another faction
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	foreign_slot	(region: REGION_SCRIPT_INTERFACE, new_owner: FACTION_SCRIPT_INTERFACE|nil)	boolean	Transfer a foreign slot to another faction. If no new owner is provided then the payload applicant will receive the foreign slot set
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	foreign_slot_transfer	(region: REGION_SCRIPT_INTERFACE, new_owner: FACTION_SCRIPT_INTERFACE|nil)	boolean	Transfer a foreign slot to another faction. If no new owner is provided then the payload applicant will receive the foreign slot set
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	form_confederation	(owner_faction: FACTION_SCRIPT_INTERFACE, other_faction: FACTION_SCRIPT_INTERFACE, awake_from_death: boolean)	boolean	Form a confederation between a faction and the payload applicant
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	give_region	(region: REGION_SCRIPT_INTERFACE)	boolean	Give a region to the applicant faction
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	grant_vision	(object: MILITARY_FORCE_SCRIPT_INTERFACE|REGION_SCRIPT_INTERFACE|SEA_REGION_SCRIPT_INTERFACE|PROVINCE_SCRIPT_INTERFACE, duration: number, receiver: FACTION_SCRIPT_INTERFACE|nil)	boolean	Grant vision of a single object. Vision will be granted to the payload applicant if no receiving faction is provided
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	grant_vision_of_faction_characters	(target: FACTION_SCRIPT_INTERFACE, duration: number, receiver: FACTION_SCRIPT_INTERFACE|nil)	boolean	Grant vision of factions characters. Vision will be granted to the payload applicant if no receiving faction is provided
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	grant_vision_of_faction_regions	(target: FACTION_SCRIPT_INTERFACE, duration: number, receiver: FACTION_SCRIPT_INTERFACE|nil)	boolean	Grant vision of factions regions. Vision will be granted to the payload applicant if no receiving faction is provided
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	influence_adjustment	(amount: number)	boolean	Adjust the payload applicant factions influence balance
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	is_null_interface	()	boolean	Is this the null script interface
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	located	(object: FACTION_SCRIPT_INTERFACE|CHARACTER_SCRIPT_INTERFACE|REGION_SCRIPT_INTERFACE|PROVINCE_SCRIPT_INTERFACE)	boolean	Add a location to the payload. This is for information only
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	military_force_pooled_resource_transaction	(force: MILITARY_FORCE_SCRIPT_INTERFACE, resource_key: string, factor_key: string, amount: number, required: boolean)	boolean	Apply a pooled resource transaction to a military force
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	military_force_pooled_resource_transaction_percentage	(force: MILITARY_FORCE_SCRIPT_INTERFACE, resource_key: string, factor_key: string, amount: number, required: boolean)	boolean	Apply a percentage pooled resource transaction to a military force
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	open_gates	(region: REGION_SCRIPT_INTERFACE, duration: number)	boolean	Sabotage the gates on a region
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	province_development_point_increase	(province: PROVINCE_SCRIPT_INTERFACE, faction: FACTION_SCRIPT_INTERFACE)	boolean	Add a development point to a province
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	province_slaves_adjustment	(target_province: PROVINCE_SCRIPT_INTERFACE, amount: number)	boolean	Adjust the amount of slaves in a province
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	random_ancillary_loss	(character: CHARACTER_SCRIPT_INTERFACE)	boolean	Remove a random ancillary from a character
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	random_subpayload	(lua: table, campaign_payload_builder_script_interface: CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE)	boolean	Add a weighted set of subpayload which will be randomly selected from when the payload is applied
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	rebellion	(region: REGION_SCRIPT_INTERFACE)	boolean	Cause a rebellion in a region
campaign,events	CAMPAIGN_PAYLOAD_BUILDER_SCRIPT_INTERFACE	region_pooled_resource_transaction	(region: REGION_SCRIPT_INTERFACE, resource_key: string, factor_key: string, amount: number, required: boolean)	boolean	Apply a pooled resource transaction to a region
